customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
9803,9590,14409,franca,SP
48100,46622,9790,sao bernardo do campo,SP
78701,76133,1151,sao paulo,SP
62427,60400,8775,mogi das cruzes,SP
92136,89064,13056,campinas,SP
25294,24571,89254,jaragua do sul,SC
56862,55055,4534,sao paulo,SP
34822,33769,35182,timoteo,MG
49566,48030,81560,curitiba,PR
46861,45424,30575,belo horizonte,MG
38631,37457,39400,montes claros,MG
54148,52453,20231,rio de janeiro,RJ
24363,23670,18682,lencois paulista,SP
61088,59106,5704,sao paulo,SP
66760,64597,95110,caxias do sul,RS
52129,50507,13412,piracicaba,SP
96635,93414,22750,rio de janeiro,RJ
84003,81225,7124,guarulhos,SP
9206,9009,5416,sao paulo,SP
32314,31335,68485,pacaja,PA
20655,20100,88034,florianopolis,SC
29675,28797,74914,aparecida de goiania,GO
75488,73028,5713,sao paulo,SP
6604,6461,82820,curitiba,PR
77935,75393,8225,sao paulo,SP
54635,52923,9121,santo andre,SP
88707,85774,74310,goiania,GO
9679,9471,4571,sao paulo,SP
36668,35558,29311,cachoeiro de itapemirim,ES
79615,77013,5528,sao paulo,SP
24783,24082,12235,sao jose dos campos,SP
38283,37117,18130,sao roque,SP
13333,13007,27525,resende,RJ
62151,60138,81750,curitiba,PR
75941,73466,13175,sumare,SP
29416,28544,7170,guarulhos,SP
20300,19756,93415,novo hamburgo,RS
87866,84958,65075,sao luis,MA
55016,53285,88104,sao jose,SC
87696,84794,7176,guarulhos,SP
43593,42244,35960,santa barbara,MG
52598,50961,5727,sao paulo,SP
28873,28018,7053,guarulhos,SP
77236,74711,14026,ribeirao preto,SP
70662,68365,30320,belo horizonte,MG
62773,60737,38300,ituiutaba,MG
70375,68085,18740,taquarituba,SP
38074,36913,83085,sao jose dos pinhais,PR
809,779,89254,jaragua do sul,SC
69733,67462,5351,sao paulo,SP
79140,76560,39406,montes claros,MG
52149,50527,14860,barrinha,SP
76446,73950,21310,rio de janeiro,RJ
12745,12441,23970,parati,RJ
53156,51496,79804,dourados,MS
51990,50373,5017,sao paulo,SP
16133,15723,75388,trindade,GO
81541,78850,85808,cascavel,PR
66284,64138,60140,fortaleza,CE
65825,63691,72270,brasilia,DF
57101,55285,2075,sao paulo,SP
75793,73325,96015,pelotas,RS
5721,5603,90010,porto alegre,RS
35229,34163,22440,rio de janeiro,RJ
27595,26785,13323,salto,SP
41004,39738,30190,belo horizonte,MG
24685,23985,13212,jundiai,SP
24309,23620,29307,cachoeiro de itapemirim,ES
92570,89488,12280,cacapava,SP
50236,48681,60336,fortaleza,CE
64395,62302,11310,sao vicente,SP
45005,43617,38408,uberlandia,MG
27015,26228,37720,botelhos,MG
44989,43601,24431,sao goncalo,RJ
4839,4740,5890,sao paulo,SP
98786,95489,3733,sao paulo,SP
99162,95848,83709,araucaria,PR
62175,60162,11347,sao vicente,SP
47803,46337,26272,nova iguacu,RJ
65079,62962,5415,sao paulo,SP
10615,10375,59655,areia branca,RN
4280,4188,4548,sao paulo,SP
81812,79113,28010,campos dos goytacazes,RJ
74099,71694,13573,sao carlos,SP
31657,30709,2175,sao paulo,SP
65645,63516,37500,itajuba,MG
83999,81221,90670,porto alegre,RS
78166,75619,9890,sao bernardo do campo,SP
64620,62520,13321,salto,SP
95369,92190,44380,cruz das almas,BA
80379,77741,27700,vassouras,RJ
28362,27523,44033,feira de santana,BA
69939,67660,4537,sao paulo,SP
85358,82528,71540,brasilia,DF
73348,70964,13569,sao carlos,SP
66867,64699,5565,sao paulo,SP
22601,21972,3636,sao paulo,SP
40922,39658,24120,niteroi,RJ
98789,95492,65058,sao luis,MA
20547,19995,2983,sao paulo,SP
44849,43462,4105,sao paulo,SP
43143,41812,89260,jaragua do sul,SC
5295,5187,62016,sobral,CE
19926,19391,35500,divinopolis,MG
65840,63705,8743,mogi das cruzes,SP
73770,71371,71928,brasilia,DF
86596,83727,4938,sao paulo,SP
26307,25546,2209,sao paulo,SP
16886,16460,25850,paraiba do sul,RJ
11457,11194,53437,paulista,PE
1522,1479,4710,sao paulo,SP
25152,24435,6382,carapicuiba,SP
44147,42779,2632,sao paulo,SP
44148,42779,2632,sao paulo,SP
58812,56921,95765,bom principio,RS
80854,78196,2631,sao paulo,SP
20531,19980,80050,curitiba,PR
10446,10210,30664,belo horizonte,MG
1720,1671,86990,marialva,PR
80260,77626,8490,sao paulo,SP
19051,18540,15015,sao jose do rio preto,SP
75959,73483,28909,cabo frio,RJ
82635,79901,32140,contagem,MG
80198,77565,38410,uberlandia,MG
80478,77835,86640,cafeara,PR
70217,67932,91340,porto alegre,RS
79853,77235,14600,sao joaquim da barra,SP
9732,9521,85854,foz do iguacu,PR
2031,1980,30421,belo horizonte,MG
8588,8407,9862,sao bernardo do campo,SP
14244,13889,24431,sao goncalo,RJ
23916,23237,8686,suzano,SP
23379,22720,7243,guarulhos,SP
22004,21403,89120,timbo,SC
22003,21403,89120,timbo,SC
22668,22038,95340,nova bassano,RS
38819,37641,96215,rio grande,RS
54540,52831,71665,brasilia,DF
27135,26344,12929,braganca paulista,SP
68827,66590,78600,barra do garcas,MT
69377,67121,4960,sao paulo,SP
19000,18493,6835,embu,SP
95741,92545,9784,sao bernardo do campo,SP
2039,1988,73020,brasilia,DF
10675,10431,88840,urussanga,SC
45610,44210,37589,silvianopolis,MG
99040,95733,5874,sao paulo,SP
57061,55248,39505,gameleiras,MG
75659,73193,66050,belem,PA
23333,22677,37701,pocos de caldas,MG
92589,89507,32070,contagem,MG
93442,90334,11065,santos,SP
15755,15357,12970,piracaia,SP
37415,36281,22251,rio de janeiro,RJ
63097,61050,11035,santos,SP
86649,83779,78557,sinop,MT
77494,74965,11440,guaruja,SP
48202,46718,6401,barueri,SP
3739,3653,5590,sao paulo,SP
52117,50495,95770,feliz,RS
33398,32384,4679,sao paulo,SP
1772,1722,30330,belo horizonte,MG
96828,93603,12270,jambeiro,SP
72806,70443,15050,sao jose do rio preto,SP
65670,63540,35160,ipatinga,MG
76115,73632,17602,tupa,SP
78115,75569,4427,sao paulo,SP
25608,24875,70750,brasilia,DF
16803,16381,89031,blumenau,SC
33756,32732,15275,moncoes,SP
19973,19437,22290,rio de janeiro,RJ
81666,78974,3563,sao paulo,SP
77982,75440,88330,balneario camboriu,SC
71201,68885,20030,rio de janeiro,RJ
10586,10347,4723,sao paulo,SP
82107,79393,65430,vargem grande,MA
46441,45013,79130,rio brilhante,MS
93937,90809,36855,eugenopolis,MG
68270,66053,66055,belem,PA
80589,77942,15054,sao jose do rio preto,SP
62290,60273,13142,paulinia,SP
91227,88186,3951,sao paulo,SP
56031,54252,13214,jundiai,SP
11525,11261,3127,sao paulo,SP
54378,52676,9030,santo andre,SP
81072,78402,12240,sao jose dos campos,SP
4630,4534,22251,rio de janeiro,RJ
4631,4534,22251,rio de janeiro,RJ
97755,94501,13045,campinas,SP
42517,41203,30830,belo horizonte,MG
42593,41278,86806,apucarana,PR
87242,84356,52070,recife,PE
80041,77414,6290,osasco,SP
94455,91307,13270,valinhos,SP
80900,78236,9040,santo andre,SP
40120,38891,69049,manaus,AM
3185,3109,95595,cidreira,RS
1118,1079,97700,santiago,RS
56902,55094,97340,sao sepe,RS
26802,26021,78580,alta floresta,MT
92980,89888,7191,guarulhos,SP
58867,56974,54430,jaboatao dos guararapes,PE
63997,61919,5451,sao paulo,SP
5825,5706,29395,ibatiba,ES
98895,95595,13188,hortolandia,SP
3955,3865,2376,sao paulo,SP
47554,46096,6719,cotia,SP
2561,2501,27915,macae,RJ
88791,85853,89868,saudades,SC
68670,66441,22220,rio de janeiro,RJ
41107,39838,68908,macapa,AP
98548,95255,18160,salto de pirapora,SP
37831,36683,75570,bom jesus,GO
56954,55145,95124,caxias do sul,RS
69289,67036,38415,uberlandia,MG
46862,45425,18900,santa cruz do rio pardo,SP
33814,32788,9950,diadema,SP
62280,60262,45320,santa ines,BA
98892,95592,23075,rio de janeiro,RJ
64962,62852,18112,votorantim,SP
54057,52366,13185,hortolandia,SP
33341,32329,27580,itatiaia,RJ
23351,22693,25245,duque de caxias,RJ
28732,27881,28375,varre-sai,RJ
60746,58774,95095,caxias do sul,RS
23865,23189,20250,rio de janeiro,RJ
50851,49276,29101,vila velha,ES
49939,48392,13053,campinas,SP
49042,47527,23860,mangaratiba,RJ
72419,70063,12942,atibaia,SP
42483,41170,5450,sao paulo,SP
7980,7815,41706,salvador,BA
20907,20346,57046,maceio,AL
84895,82084,91350,porto alegre,RS
58642,56760,22620,rio de janeiro,RJ
79271,76683,16204,birigui,SP
28185,27350,14401,franca,SP
98957,95653,25675,petropolis,RJ
73400,71013,24220,niteroi,RJ
10212,9990,90240,porto alegre,RS
74925,72487,13520,sao pedro,SP
40528,39284,84200,jaguariaiva,PR
74084,71679,21515,rio de janeiro,RJ
29720,28840,7847,franco da rocha,SP
83888,81115,3609,sao paulo,SP
50167,48612,72220,brasilia,DF
65846,63710,12280,cacapava,SP
80811,78157,13212,jundiai,SP
37679,36535,41480,salvador,BA
74040,71637,12420,pindamonhangaba,SP
95955,92754,84500,irati,PR
65607,63478,18380,ribeira,SP
14952,14577,35160,ipatinga,MG
72631,70273,4455,sao paulo,SP
7445,7288,36200,barbacena,MG
71122,68808,55700,limoeiro,PE
4596,4500,76974,espigao do oeste,RO
14050,13699,26155,belford roxo,RJ
84166,81383,12215,sao jose dos campos,SP
23231,22577,70770,brasilia,DF
38081,36920,35171,coronel fabriciano,MG
74163,71756,9960,diadema,SP
98189,94914,72331,brasilia,DF
63164,61114,72225,brasilia,DF
89722,86744,11740,itanhaem,SP
67084,64911,74825,goiania,GO
84972,82158,14709,bebedouro,SP
75907,73433,13465,americana,SP
14424,14061,41308,salvador,BA
15913,15513,36500,uba,MG
20469,19920,86700,arapongas,PR
72714,70353,13287,vinhedo,SP
33126,32118,88304,itajai,SC
15673,15275,79823,dourados,MS
24212,23527,17033,bauru,SP
21587,21003,14850,pradopolis,SP
72235,69888,5171,sao paulo,SP
80079,77450,78325,aripuana,MT
62932,60889,12900,braganca paulista,SP
82426,79700,4374,sao paulo,SP
38259,37094,45840,guaratinga,BA
29699,28820,4190,sao paulo,SP
58948,57048,79904,ponta pora,MS
1130,1091,16011,aracatuba,SP
29898,29013,27265,volta redonda,RJ
10892,10643,87025,maringa,PR
88093,85177,7197,guarulhos,SP
85290,82462,1527,sao paulo,SP
82425,79699,4845,sao paulo,SP
56182,54397,24230,niteroi,RJ
98183,94908,36205,barbacena,MG
13952,13605,91130,porto alegre,RS
40593,39347,95500,santo antonio da patrulha,RS
38141,36980,1230,sao paulo,SP
23039,22392,91760,porto alegre,RS
32230,31258,27351,barra mansa,RJ
85902,83055,60181,fortaleza,CE
11451,11188,39100,diamantina,MG
14245,13890,30330,belo horizonte,MG
14214,13859,71505,brasilia,DF
22160,21551,87050,maringa,PR
85897,83050,41720,salvador,BA
86120,83268,4003,sao paulo,SP
3368,3289,27913,macae,RJ
87453,84563,5792,sao paulo,SP
51729,50122,18120,mairinque,SP
51728,50122,18120,mairinque,SP
93748,90629,31615,belo horizonte,MG
94106,90972,85790,capitao leonidas marques,PR
84769,81962,20735,rio de janeiro,RJ
37042,35919,37950,sao sebastiao do paraiso,MG
36824,35706,22240,rio de janeiro,RJ
31127,30192,25645,petropolis,RJ
54640,52928,2802,sao paulo,SP
60765,58793,4744,sao paulo,SP
94981,91818,3704,sao paulo,SP
79511,76915,13416,piracicaba,SP
43308,41973,26115,belford roxo,RJ
53651,51978,73035,brasilia,DF
63525,61463,74580,goiania,GO
95161,91991,97590,rosario do sul,RS
30530,29613,23820,itaguai,RJ
83893,81120,3579,sao paulo,SP
8283,8110,11420,guaruja,SP
17619,17166,35774,paraopeba,MG
53247,51583,9271,santo andre,SP
21475,20895,13041,campinas,SP
93033,89938,1321,sao paulo,SP
50354,48794,20240,rio de janeiro,RJ
42688,41369,31555,belo horizonte,MG
78026,75484,85012,guarapuava,PR
9808,9595,39885,crisolita,MG
45093,43704,27175,pirai,RJ
62195,60181,57062,maceio,AL
33523,32505,29903,linhares,ES
79474,76878,17120,agudos,SP
55372,53627,2435,sao paulo,SP
67103,64930,4116,sao paulo,SP
39011,37822,21010,rio de janeiro,RJ
87716,84812,25545,sao joao de meriti,RJ
49923,48376,3105,sao paulo,SP
294,292,21616,rio de janeiro,RJ
25746,25004,88370,navegantes,SC
43531,42183,13641,pirassununga,SP
19633,19106,9686,sao bernardo do campo,SP
96081,92879,89694,faxinal dos guedes,SC
52444,50812,7251,guarulhos,SP
96113,92911,71908,brasilia,DF
36804,35686,72300,brasilia,DF
59868,57936,88805,criciuma,SC
10127,9907,29830,nova venecia,ES
75788,73321,99010,passo fundo,RS
40889,39626,2230,sao paulo,SP
37262,36131,38400,uberlandia,MG
26557,25788,6386,carapicuiba,SP
93649,90536,20780,rio de janeiro,RJ
62960,60917,38950,ibia,MG
3169,3093,74986,aparecida de goiania,GO
980,947,1310,sao paulo,SP
55207,53468,11045,santos,SP
85987,83138,36900,manhuacu,MG
80447,77805,13178,sumare,SP
70451,68159,68371,altamira,PA
