mql_id,first_contact_date,landing_page_id_NEW,origin
1,2/1/2018,1,social
10,12/25/2017,1,social
58,2/8/2018,1,social
65,2/20/2018,1,social
73,1/29/2018,1,social
74,3/7/2018,1,social
112,10/26/2017,1,social
130,2/4/2018,1,social
154,1/2/2018,1,social
179,1/12/2018,1,social
194,1/12/2018,1,social
200,2/16/2018,1,social
216,2/18/2018,1,social
243,3/6/2018,1,social
246,1/4/2018,1,social
248,1/30/2018,1,social
259,2/13/2018,1,social
270,10/27/2017,1,paid_search
283,1/16/2018,1,social
287,12/31/2017,1,social
326,3/13/2018,1,social
333,3/9/2018,1,email
335,11/16/2017,1,social
350,3/9/2018,1,social
362,1/29/2018,1,other_publicities
371,11/5/2017,1,referral
379,2/11/2018,1,social
389,1/20/2018,1,social
402,11/3/2017,1,social
412,12/1/2017,1,social
433,2/17/2018,1,social
486,3/14/2018,1,social
500,2/17/2018,1,social
517,1/7/2018,1,social
521,10/10/2017,1,social
552,11/20/2017,1,social
557,2/4/2018,1,social
559,10/22/2017,1,social
564,2/25/2018,1,social
566,1/30/2018,1,social
576,2/15/2018,1,social
583,1/31/2018,1,social
598,12/30/2017,1,social
606,1/29/2018,1,social
618,11/11/2017,1,social
621,10/20/2017,1,social
622,2/3/2018,1,social
662,2/15/2018,1,social
674,2/10/2018,1,social
691,2/19/2018,1,social
712,2/15/2018,1,social
723,1/4/2018,1,social
739,3/5/2018,1,social
759,1/7/2018,1,social
923,11/23/2017,1,social
947,2/5/2018,1,social
964,1/31/2018,1,social
969,1/10/2018,1,social
994,2/13/2018,1,social
1037,2/15/2018,1,social
1038,11/1/2017,1,social
1051,11/20/2017,1,social
1075,11/18/2017,1,social
1095,11/6/2017,1,social
1115,11/25/2017,1,social
1143,2/9/2018,1,social
1145,2/22/2018,1,social
1149,2/4/2018,1,social
1177,11/27/2017,1,social
1218,12/24/2017,1,social
1246,1/15/2018,1,social
1252,10/29/2017,1,social
1275,2/3/2018,1,social
1320,1/21/2018,1,social
1355,1/7/2018,1,social
1368,1/25/2018,1,social
1393,3/5/2018,1,social
1436,2/14/2018,1,social
1446,1/16/2018,1,social
1448,2/17/2018,1,social
1512,1/6/2018,1,social
1513,2/16/2018,1,social
1523,1/20/2018,1,social
1533,3/7/2018,1,social
1534,1/15/2018,1,social
1551,11/1/2017,1,social
1557,11/10/2017,1,social
1566,1/3/2018,1,social
1573,2/1/2018,1,social
1587,11/8/2017,1,social
1619,3/13/2018,1,social
1672,1/17/2018,1,direct_traffic
1689,2/3/2018,1,social
1722,2/1/2018,1,social
1736,11/27/2017,1,social
1743,1/22/2018,1,social
1750,1/31/2018,1,social
1753,10/15/2017,1,social
1766,1/30/2018,1,social
1770,11/3/2017,1,social
1818,11/24/2017,1,social
1819,1/6/2018,1,social
1862,2/19/2018,1,social
1889,2/17/2018,1,social
1928,1/4/2018,1,social
1930,1/9/2018,1,social
1954,1/20/2018,1,social
1982,11/3/2017,1,social
1988,1/16/2018,1,social
2014,2/24/2018,1,social
2023,12/25/2017,1,social
2024,1/19/2018,1,social
2038,2/20/2018,1,social
2058,1/9/2018,1,social
2068,1/3/2018,1,social
2084,1/25/2018,1,social
2095,1/16/2018,1,social
2132,2/12/2018,1,social
2133,12/25/2017,1,social
2134,3/12/2018,1,social
2142,1/30/2018,1,social
2166,3/10/2018,1,social
2171,11/9/2017,1,social
2248,11/29/2017,1,social
2280,1/14/2018,1,social
2287,3/4/2018,1,social
2315,1/14/2018,1,social
2326,3/4/2018,1,other_publicities
2332,12/18/2017,1,social
2386,2/13/2018,1,social
2406,1/8/2018,1,organic_search
2436,1/28/2018,1,social
2439,3/12/2018,1,social
2464,3/5/2018,1,social
2471,1/26/2018,1,social
2474,1/17/2018,1,social
2521,1/8/2018,1,unknown
2522,1/7/2018,1,social
2585,10/27/2017,1,social
2628,1/17/2018,1,social
2678,11/3/2017,1,referral
2757,1/8/2018,1,social
2766,12/25/2017,1,social
2767,11/21/2017,1,social
2786,1/7/2018,1,social
