seller_id,seller_zip_code_prefix,seller_city,seller_state
1,13023,campinas,SP
2,13844,mogi guacu,SP
3,20031,rio de janeiro,RJ
4,4195,sao paulo,SP
5,12914,braganca paulista,SP
6,20920,rio de janeiro,RJ
7,55325,brejao,PE
8,16304,penapolis,SP
9,1529,sao paulo,SP
10,80310,curitiba,PR
11,75110,anapolis,GO
12,13530,itirapina,SP
13,1222,sao paulo,SP
14,5372,sao paulo,SP
15,88705,tubarao,SC
16,42738,lauro de freitas,BA
17,88780,imbituba,SC
18,70740,brasilia,DF
19,45810,porto seguro,BA
20,5138,sao paulo,SP
21,11440,guaruja,SP
22,14910,tabatinga,SP
23,4156,sao paulo,SP
24,13320,salto,SP
25,98910,tres de maio,RS
26,30494,belo horizonte,MG
27,86707,arapongas,PR
28,9850,sao bernardo do campo,SP
29,4857,sao paulo,SP
30,18500,tatui,SP
31,80210,curitiba,PR
32,2261,sao paulo,SP
33,88495,garopaba,SC
34,3562,sao paulo,SP
35,37650,camanducaia,MG
36,17602,tupa,SP
37,7241,guarulhos,SP
38,83050,sao jose dos pinhais,PR
39,3445,sao paulo,SP
40,4133,sao paulo,SP
41,72233,brasilia,DF
42,70645,brasilia,DF
43,88730,sao ludgero,SC
44,88075,sao jose,SC
45,13416,piracicaba,SP
46,90850,porto alegre,RS
47,37584,congonhal,MG
48,31950,belo horizonte,MG
49,31555,belo horizonte,MG
50,9251,santo andre,SP
51,4705,sao paulo,SP
52,6144,osasco,SP
53,13270,valinhos,SP
54,89214,joinville,SC
55,11446,guaruja,SP
56,28990,saquarema,RJ
57,88390,barra velha,SC
58,25730,petropolis,RJ
59,95500,santo antonio da patrulha,RS
60,84010,ponta grossa,PR
61,6544,santana de parnaiba,SP
62,9121,santo andre,SP
63,13568,sao carlos,SP
64,6056,osasco,SP
65,14940,ibitinga,SP
66,5741,sao paulo,SP
67,83010,sao jose dos pinhais,PR
68,3702,sao paulo,SP
69,6429,barueri,SP
70,6192,osasco,SP
71,95076,caxias do sul,SP
72,3569,sao paulo,SP
73,89207,joinville,SC
74,38440,araguari,MG
75,32180,contagem,MG
76,89258,jaragua do sul,SC
77,14940,ibitinga,SP
78,9715,sao bernardo do campo,SP
79,88501,lages - sc,SC
80,95711,bento goncalves,RS
81,15805,catanduva,SP
82,9400,ribeirao pires,SP
83,4726,sao paulo,SP
84,14882,jaboticabal,SP
85,19830,echapora,SP
86,6713,cotia,SP
87,89160,rio do sul,SC
88,4275,sao paulo,SP
89,18040,sorocaba,SP
90,21235,rio de janeiro,RJ
91,14850,pradopolis,SP
92,22420,rio de janeiro,RJ
93,1125,sao paulo,SP
94,24813,itaborai,RJ
95,5786,sao paulo,SP
