NumeDistribuitor	NumeClient	IDClient	DataComanda	DataLivrare	CostTransport	IDComanda	Vanzare	ProcentTransport
Shipper ZHISN	Customer ENQZT	85	2006-07-04 00:00:00	2006-07-16 00:00:00	32.38	10248	440.0000000	7.359090909091
Shipper GVSUA	Customer FAPSM	79	2006-07-05 00:00:00	2006-07-10 00:00:00	11.61	10249	1863.4000000	.623054631319
Shipper ETYNR	Customer IBVRG	34	2006-07-08 00:00:00	2006-07-12 00:00:00	65.83	10250	1552.6000000	4.239984542058
Shipper GVSUA	Customer NRCSK	84	2006-07-08 00:00:00	2006-07-15 00:00:00	41.34	10251	654.0600000	6.320521053114
Shipper ETYNR	Customer SFOGW	76	2006-07-09 00:00:00	2006-07-11 00:00:00	51.3	10252	3597.9000000	1.425831735179
Shipper ETYNR	Customer IBVRG	34	2006-07-10 00:00:00	2006-07-16 00:00:00	58.17	10253	1444.8000000	4.026162790698
Shipper ETYNR	Customer WNMAF	14	2006-07-11 00:00:00	2006-07-23 00:00:00	22.98	10254	556.6200000	4.128489813517
Shipper ZHISN	Customer CCKOT	68	2006-07-12 00:00:00	2006-07-15 00:00:00	148.33	10255	2490.5000000	5.955832162216
Shipper ETYNR	Customer SRQVM	88	2006-07-15 00:00:00	2006-07-17 00:00:00	13.97	10256	517.8000000	2.697952877559
Shipper ZHISN	Customer UMTLM	35	2006-07-16 00:00:00	2006-07-22 00:00:00	81.91	10257	1119.9000000	7.314045896955
Shipper GVSUA	Customer THHDP	20	2006-07-17 00:00:00	2006-07-23 00:00:00	140.51	10258	1614.8800000	8.700956108194
Shipper ZHISN	Customer VMLOG	13	2006-07-18 00:00:00	2006-07-25 00:00:00	3.25	10259	100.8000000	3.224206349206
Shipper GVSUA	Customer QNIVZ	56	2006-07-19 00:00:00	2006-07-29 00:00:00	55.09	10260	1504.6500000	3.661316585252
Shipper ETYNR	Customer WULWD	61	2006-07-19 00:00:00	2006-07-30 00:00:00	3.05	10261	448.0000000	.680803571429
Shipper ZHISN	Customer NYUHS	65	2006-07-22 00:00:00	2006-07-25 00:00:00	48.29	10262	584.0000000	8.268835616438
Shipper ZHISN	Customer THHDP	20	2006-07-23 00:00:00	2006-07-31 00:00:00	146.06	10263	1873.8000000	7.794855374106
Shipper ZHISN	Customer CYZTN	24	2006-07-24 00:00:00	2006-08-23 00:00:00	3.67	10264	695.6250000	.527583108715
Shipper GVSUA	Customer QXVLA	7	2006-07-25 00:00:00	2006-08-12 00:00:00	55.28	10265	1176.0000000	4.700680272109
Shipper ZHISN	Customer ZHYOS	87	2006-07-26 00:00:00	2006-07-31 00:00:00	25.73	10266	346.5600000	7.424399815328
Shipper GVSUA	Customer AZJED	25	2006-07-29 00:00:00	2006-08-06 00:00:00	208.58	10267	3536.6000000	5.897754905842
Shipper ZHISN	Customer FVXPQ	33	2006-07-30 00:00:00	2006-08-02 00:00:00	66.29	10268	1101.2000000	6.019796585543
Shipper GVSUA	Customer YBQTI	89	2006-07-31 00:00:00	2006-08-09 00:00:00	4.56	10269	642.2000000	.710059171598
Shipper GVSUA	Customer ZHYOS	87	2006-08-01 00:00:00	2006-08-02 00:00:00	136.54	10270	1376.0000000	9.922965116279
Shipper ETYNR	Customer XOJYP	75	2006-08-01 00:00:00	2006-08-30 00:00:00	4.54	10271	48.0000000	9.458333333333
Shipper ETYNR	Customer NYUHS	65	2006-08-02 00:00:00	2006-08-06 00:00:00	98.03	10272	1456.0000000	6.732829670330
Shipper ZHISN	Customer IRRVL	63	2006-08-05 00:00:00	2006-08-12 00:00:00	76.07	10273	2037.2800000	3.733900102097
Shipper GVSUA	Customer ENQZT	85	2006-08-06 00:00:00	2006-08-16 00:00:00	6.01	10274	538.6000000	1.115855922763
Shipper GVSUA	Customer CQRAA	49	2006-08-07 00:00:00	2006-08-09 00:00:00	26.93	10275	291.8400000	9.227658991228
Shipper ZHISN	Customer VONTK	80	2006-08-08 00:00:00	2006-08-14 00:00:00	13.84	10276	420.0000000	3.295238095238
Shipper ZHISN	Customer PZNLA	52	2006-08-09 00:00:00	2006-08-13 00:00:00	125.77	10277	1200.8000000	10.473850766156
Shipper ETYNR	Customer HGVLZ	5	2006-08-12 00:00:00	2006-08-16 00:00:00	92.69	10278	1488.8000000	6.225819451908
Shipper ETYNR	Customer OXFRU	44	2006-08-13 00:00:00	2006-08-16 00:00:00	25.83	10279	351.0000000	7.358974358974
Shipper GVSUA	Customer HGVLZ	5	2006-08-14 00:00:00	2006-09-12 00:00:00	8.98	10280	613.2000000	1.464448793216
Shipper GVSUA	Customer SIUIH	69	2006-08-14 00:00:00	2006-08-21 00:00:00	2.94	10281	86.5000000	3.398843930636
Shipper GVSUA	Customer SIUIH	69	2006-08-15 00:00:00	2006-08-21 00:00:00	12.69	10282	155.4000000	8.166023166023
Shipper ZHISN	Customer XPNIK	46	2006-08-16 00:00:00	2006-08-23 00:00:00	84.81	10283	1414.8000000	5.994486853265
Shipper GVSUA	Customer OXFRU	44	2006-08-19 00:00:00	2006-08-27 00:00:00	76.56	10284	1170.3750000	6.541493111182
Shipper ETYNR	Customer IRRVL	63	2006-08-20 00:00:00	2006-08-26 00:00:00	76.83	10285	1743.3600000	4.407007158590
Shipper ZHISN	Customer IRRVL	63	2006-08-21 00:00:00	2006-08-30 00:00:00	229.24	10286	3016.0000000	7.600795755968
Shipper ZHISN	Customer QVEPD	67	2006-08-22 00:00:00	2006-08-28 00:00:00	12.76	10287	819.0000000	1.557997557998
Shipper GVSUA	Customer LHANT	66	2006-08-23 00:00:00	2006-09-03 00:00:00	7.45	10288	80.1000000	9.300873907615
Shipper ZHISN	Customer UBHAU	11	2006-08-26 00:00:00	2006-08-28 00:00:00	22.77	10289	479.4000000	4.749687108886
Shipper GVSUA	Customer JUWXK	15	2006-08-27 00:00:00	2006-09-03 00:00:00	79.7	10290	2169.0000000	3.674504379899
Shipper ETYNR	Customer WULWD	61	2006-08-27 00:00:00	2006-09-04 00:00:00	6.4	10291	497.5200000	1.286380447017
Shipper ETYNR	Customer YQQWW	81	2006-08-28 00:00:00	2006-09-02 00:00:00	1.35	10292	1296.0000000	.104166666667
Shipper ZHISN	Customer VONTK	80	2006-08-29 00:00:00	2006-09-11 00:00:00	21.18	10293	848.7000000	2.495581477554
Shipper ETYNR	Customer NYUHS	65	2006-08-30 00:00:00	2006-09-05 00:00:00	147.26	10294	1887.6000000	7.801440983259
Shipper ETYNR	Customer ENQZT	85	2006-09-02 00:00:00	2006-09-10 00:00:00	1.15	10295	121.6000000	.945723684211
Shipper GVSUA	Customer XPNIK	46	2006-09-03 00:00:00	2006-09-11 00:00:00	0.12	10296	1050.6000000	.011422044546
Shipper ETYNR	Customer QXVLA	7	2006-09-04 00:00:00	2006-09-10 00:00:00	5.74	10297	1420.0000000	.404225352113
Shipper ETYNR	Customer FRXZL	37	2006-09-05 00:00:00	2006-09-11 00:00:00	168.22	10298	2645.0000000	6.359924385633
Shipper ETYNR	Customer QVEPD	67	2006-09-06 00:00:00	2006-09-13 00:00:00	29.76	10299	349.5000000	8.515021459227
Shipper ETYNR	Customer CQRAA	49	2006-09-09 00:00:00	2006-09-18 00:00:00	17.68	10300	608.0000000	2.907894736842
Shipper ETYNR	Customer SNXOJ	86	2006-09-09 00:00:00	2006-09-17 00:00:00	45.08	10301	755.0000000	5.970860927152
Shipper ETYNR	Customer SFOGW	76	2006-09-10 00:00:00	2006-10-09 00:00:00	6.27	10302	2708.8000000	.231467808624
Shipper ETYNR	Customer KSLQF	30	2006-09-11 00:00:00	2006-09-18 00:00:00	107.83	10303	1117.8000000	9.646627303632
Shipper ETYNR	Customer VONTK	80	2006-09-12 00:00:00	2006-09-17 00:00:00	63.79	10304	954.4000000	6.683780385583
Shipper ZHISN	Customer KZQZT	55	2006-09-13 00:00:00	2006-10-09 00:00:00	257.62	10305	3741.3000000	6.885841819688
Shipper ZHISN	Customer SIUIH	69	2006-09-16 00:00:00	2006-09-23 00:00:00	7.56	10306	498.5000000	1.516549648947
Shipper ETYNR	Customer DVFMB	48	2006-09-17 00:00:00	2006-09-25 00:00:00	0.56	10307	424.0000000	.132075471698
Shipper ZHISN	Customer MLTDN	2	2006-09-18 00:00:00	2006-09-24 00:00:00	1.61	10308	88.8000000	1.813063063063
Shipper GVSUA	Customer FRXZL	37	2006-09-19 00:00:00	2006-10-23 00:00:00	47.3	10309	1762.0000000	2.684449489217
Shipper ETYNR	Customer LCYBZ	77	2006-09-20 00:00:00	2006-09-27 00:00:00	17.52	10310	336.0000000	5.214285714286
Shipper ZHISN	Customer BSVAR	18	2006-09-20 00:00:00	2006-09-26 00:00:00	24.69	10311	268.8000000	9.185267857143
Shipper ETYNR	Customer SNXOJ	86	2006-09-23 00:00:00	2006-10-03 00:00:00	40.26	10312	1614.8000000	2.493188010899
Shipper ETYNR	Customer IRRVL	63	2006-09-24 00:00:00	2006-10-04 00:00:00	1.96	10313	182.4000000	1.074561403509
Shipper ETYNR	Customer NYUHS	65	2006-09-25 00:00:00	2006-10-04 00:00:00	74.16	10314	2094.3000000	3.541039965621
Shipper ETYNR	Customer LJUCA	38	2006-09-26 00:00:00	2006-10-03 00:00:00	41.76	10315	516.8000000	8.080495356037
Shipper ZHISN	Customer NYUHS	65	2006-09-27 00:00:00	2006-10-08 00:00:00	150.15	10316	2835.0000000	5.296296296296
Shipper GVSUA	Customer DVFMB	48	2006-09-30 00:00:00	2006-10-10 00:00:00	12.69	10317	288.0000000	4.406250000000
Shipper ETYNR	Customer LJUCA	38	2006-10-01 00:00:00	2006-10-04 00:00:00	4.73	10318	240.4000000	1.967554076539
Shipper ZHISN	Customer VONTK	80	2006-10-02 00:00:00	2006-10-11 00:00:00	64.5	10319	1191.2000000	5.414707857623
Shipper ZHISN	Customer ZHYOS	87	2006-10-03 00:00:00	2006-10-18 00:00:00	34.57	10320	516.0000000	6.699612403101
Shipper ETYNR	Customer LJUCA	38	2006-10-03 00:00:00	2006-10-11 00:00:00	3.43	10321	144.0000000	2.381944444444
Shipper ZHISN	Customer AHXHT	58	2006-10-04 00:00:00	2006-10-23 00:00:00	0.4	10322	112.0000000	.357142857143
Shipper GVSUA	Customer GLLAG	39	2006-10-07 00:00:00	2006-10-14 00:00:00	4.88	10323	164.4000000	2.968369829684
Shipper GVSUA	Customer LCOUJ	71	2006-10-08 00:00:00	2006-10-10 00:00:00	214.27	10324	5275.7150000	4.061440013344
Shipper ZHISN	Customer GLLAG	39	2006-10-09 00:00:00	2006-10-14 00:00:00	64.86	10325	1497.0000000	4.332665330661
Shipper ETYNR	Customer QUHWH	8	2006-10-10 00:00:00	2006-10-14 00:00:00	77.92	10326	982.0000000	7.934826883910
Shipper GVSUA	Customer CYZTN	24	2006-10-11 00:00:00	2006-10-14 00:00:00	63.36	10327	1810.0000000	3.500552486188
Shipper ZHISN	Customer XYUFB	28	2006-10-14 00:00:00	2006-10-17 00:00:00	87.03	10328	1168.0000000	7.451198630137
Shipper ETYNR	Customer XOJYP	75	2006-10-15 00:00:00	2006-10-23 00:00:00	191.67	10329	4578.4300000	4.186369563366
Shipper GVSUA	Customer XPNIK	46	2006-10-16 00:00:00	2006-10-28 00:00:00	12.75	10330	1649.0000000	.773195876289
Shipper GVSUA	Customer RTXGC	9	2006-10-16 00:00:00	2006-10-21 00:00:00	10.19	10331	88.5000000	11.514124293785
