Month,categoryname,Distinct_Customers,Orders,Sales,Qty
200703,Meat/Poultry,5,5,3271.6,102
200802,Seafood,19,21,11591.69,564
200705,Condiments,8,9,5728.8,300
200805,Condiments,3,3,1074,59
200705,Produce,4,4,3481.2,71
200707,Confections,11,13,6968.03,210
200805,Grains/Cereals,2,2,4421,136
200704,Confections,11,11,11714.65,394
200705,Grains/Cereals,4,5,2551.5,149
200612,Confections,9,9,6550.4,240
200702,Seafood,6,8,2283.8,147
200706,Meat/Poultry,5,5,5006.3,130
200702,Grains/Cereals,7,9,5043.4,216
200708,Condiments,7,7,4501.8,206
200803,Beverages,23,33,28729.25,925
200709,Beverages,7,8,6198.75,174
200702,Produce,5,5,2698.8,103
200609,Confections,9,10,6450.5,248
200805,Seafood,6,7,1262.16,118
200710,Dairy Products,14,15,13745,422
200711,Condiments,8,8,3854.8,172
200611,Condiments,5,5,6918.3,294
200706,Beverages,14,14,3602,313
200609,Meat/Poultry,4,4,4538.5,100
200709,Meat/Poultry,7,7,12406.54,176
200801,Confections,19,23,12387.75,483
200712,Meat/Poultry,10,11,14706.43,259
200607,Dairy Products,9,9,7385.6,304
200707,Dairy Products,9,11,13570.1,374
200708,Seafood,12,12,8997.2,302
200705,Seafood,12,14,6371.15,401
200703,Beverages,12,14,11027.2,471
200804,Confections,15,16,9183.53,438
200708,Produce,6,6,4455,119
200802,Produce,4,4,1202.8,37
200610,Dairy Products,9,11,8117.6,367
200701,Confections,17,18,9582.3,623
200708,Grains/Cereals,8,9,5529.25,204
200805,Produce,4,4,1333.05,45
200802,Dairy Products,11,12,11277,446
200608,Condiments,7,7,2333.8,154
200802,Grains/Cereals,9,9,4127.75,211
200702,Condiments,5,6,6618.4,393
200709,Condiments,9,9,3748.9,222
200612,Beverages,10,11,11768,305
200804,Beverages,28,35,24470,1092
200704,Beverages,14,14,7377.5,268
200707,Meat/Poultry,5,5,4902.3,179
200712,Beverages,18,20,11675.25,498
200705,Dairy Products,16,17,11491.5,494
200805,Dairy Products,3,3,636,35
200710,Seafood,11,14,7322.27,431
200610,Seafood,9,10,6605,310
200612,Meat/Poultry,8,8,9423,309
200701,Beverages,7,8,24224.4,330
200710,Meat/Poultry,9,11,14703.23,378
200802,Confections,16,18,10026.15,432
200608,Produce,2,2,812.8,22
200702,Dairy Products,12,12,5616,248
200608,Grains/Cereals,2,2,270.6,11
200608,Dairy Products,8,9,4918.4,250
200707,Seafood,7,9,8452.3,366
200704,Seafood,9,9,4518.3,241
200701,Meat/Poultry,10,10,7775.8,219
200801,Meat/Poultry,8,8,5603.17,133
200805,Confections,7,7,2459.45,179
200803,Condiments,13,17,11018.3,378
200703,Grains/Cereals,6,6,3350,174
200611,Produce,3,3,2413.2,63
200703,Produce,4,5,3676.8,122
200803,Produce,15,15,13168,351
200702,Confections,14,15,7413.5,425
200711,Grains/Cereals,9,10,6266,310
200610,Confections,10,11,3797.1,187
200803,Grains/Cereals,13,13,3510.5,189
200711,Dairy Products,14,15,13597.1,344
200804,Meat/Poultry,11,13,22612.88,405
200703,Condiments,4,6,1905.9,150
200611,Grains/Cereals,5,5,2599.8,139
200804,Seafood,21,24,10312.3,630
200611,Dairy Products,9,9,7738.8,372
200609,Beverages,9,10,5131.6,285
200704,Meat/Poultry,6,6,6846.24,93
200801,Beverages,27,30,28558,622
200706,Condiments,6,6,1886.85,95
200710,Confections,11,15,8051.55,390
200607,Confections,8,8,6261,245
200711,Produce,5,5,3268.25,81
200701,Seafood,7,8,2074.3,154
200708,Dairy Products,9,10,7375.5,256
200607,Seafood,7,7,2770.5,187
200706,Seafood,8,9,3477.25,144
200711,Confections,7,10,5271.16,255
200801,Condiments,12,13,5000.45,269
200607,Meat/Poultry,4,4,2722.2,76
200609,Condiments,3,3,1864,110
200801,Produce,6,6,1639,58
200609,Produce,2,2,1164.8,32
200712,Produce,9,10,13047.15,315
200608,Confections,10,10,5224.8,170
200709,Grains/Cereals,11,12,5755.75,262
200701,Condiments,8,8,5698.8,271
200801,Grains/Cereals,15,16,12573.75,544
200609,Grains/Cereals,4,4,819.2,32
200709,Dairy Products,12,14,12054,435
200801,Seafood,18,20,15644.6,735
200702,Meat/Poultry,7,9,8442.9,380
200712,Condiments,9,9,6252.6,257
