Category	Sales_Month	Distinct_Customers	Distinct_Orders	Sales	Qty
Beverages	200607	10	11	3182.5000000	272
Beverages	200608	9	11	4866.8800000	347
Beverages	200609	9	10	5088.4000000	285
Beverages	200610	11	12	8187.3600000	301
Beverages	200611	12	12	17162.0600000	332
Beverages	200612	10	11	9431.8000000	305
Beverages	200701	7	8	21904.1600000	330
Beverages	200702	9	12	2845.8400000	220
Beverages	200703	12	14	10636.8800000	471
Beverages	200704	14	14	7074.3500000	268
Beverages	200705	11	12	15422.2500000	322
Beverages	200706	14	14	3485.4250000	313
Beverages	200707	13	14	7889.2250000	327
Beverages	200708	14	16	5836.9250000	334
Beverages	200709	7	8	5726.7000000	174
Beverages	200710	14	17	8374.9000000	491
Beverages	200711	10	10	3851.0000000	248
Beverages	200712	18	20	10876.6500000	498
Beverages	200801	27	30	27245.4000000	622
Beverages	200802	20	22	34599.1500000	834
Beverages	200803	23	33	27761.5750000	925
Beverages	200804	28	35	22362.0500000	1092
Beverages	200805	8	8	4056.7000000	221
Condiments	200607	6	6	1878.2000000	139
Condiments	200608	7	7	2296.6000000	154
Condiments	200609	3	3	1813.6000000	110
Condiments	200610	6	7	4124.3200000	183
Condiments	200611	5	5	6290.2250000	294
Condiments	200612	3	3	1497.4400000	82
Condiments	200701	8	8	5252.0750000	271
Condiments	200702	5	6	6128.8600000	393
Condiments	200703	4	6	1645.1350000	150
Condiments	200704	9	11	5544.4000000	259
Condiments	200705	8	9	5453.0200000	300
Condiments	200706	6	6	1855.2750000	95
Condiments	200707	8	9	5519.8350000	300
Condiments	200708	7	7	4220.0250000	206
Condiments	200709	9	9	3575.1775000	222
Condiments	200710	10	12	6565.9125000	270
Condiments	200711	8	8	3784.6750000	172
Condiments	200712	9	9	5824.2000000	257
Condiments	200801	12	13	4737.8975000	269
Condiments	200802	10	12	6293.9675000	289
Condiments	200803	13	17	10773.2700000	378
Condiments	200804	14	17	10087.0750000	446
Condiments	200805	3	3	885.9000000	59
Confections	200607	8	8	5775.1500000	245
Confections	200608	10	10	5006.7750000	170
Confections	200609	9	10	6337.0000000	248
Confections	200610	10	11	3528.5950000	187
Confections	200611	8	8	3165.3800000	267
Confections	200612	9	9	5872.6500000	240
Confections	200701	17	18	9128.1150000	623
Confections	200702	14	15	6978.8750000	425
Confections	200703	11	11	3209.9250000	265
Confections	200704	11	11	11538.6125000	394
Confections	200705	9	9	7689.8250000	291
Confections	200706	6	6	2174.8850000	107
Confections	200707	11	13	6462.5975000	210
Confections	200708	9	10	7105.6300000	335
Confections	200709	15	16	6708.5900000	371
Confections	200710	11	15	7800.7000000	390
Confections	200711	7	10	5081.8465000	255
Confections	200712	15	16	8778.1490000	471
Confections	200801	19	23	11382.4315000	483
Confections	200802	16	18	9526.1850000	432
Confections	200803	21	25	22877.1800000	880
Confections	200804	15	16	8886.7050000	438
Confections	200805	7	7	2341.4230000	179
Dairy Products	200607	9	9	6838.3400000	304
Dairy Products	200608	8	9	4761.7000000	250
Dairy Products	200609	7	8	3857.6000000	140
Dairy Products	200610	9	11	7260.4300000	367
Dairy Products	200611	9	9	7309.7200000	372
