custid	Customer_Name	orderid	orderdate	shippeddate	Shipper_Name	freight	Value	Freight_Value
85	Customer ENQZT	10248	2006-07-04 00:00:00	2006-07-16 00:00:00	Shipper ZHISN	32.38	440	0.0735
79	Customer FAPSM	10249	2006-07-05 00:00:00	2006-07-10 00:00:00	Shipper GVSUA	11.61	1863.4	0.0062
34	Customer IBVRG	10250	2006-07-08 00:00:00	2006-07-12 00:00:00	Shipper ETYNR	65.83	1813	0.0363
84	Customer NRCSK	10251	2006-07-08 00:00:00	2006-07-15 00:00:00	Shipper GVSUA	41.34	670.8	0.0616
76	Customer SFOGW	10252	2006-07-09 00:00:00	2006-07-11 00:00:00	Shipper ETYNR	51.3	3730	0.0137
34	Customer IBVRG	10253	2006-07-10 00:00:00	2006-07-16 00:00:00	Shipper ETYNR	58.17	1444.8	0.0402
14	Customer WNMAF	10254	2006-07-11 00:00:00	2006-07-23 00:00:00	Shipper ETYNR	22.98	625.2	0.0367
68	Customer CCKOT	10255	2006-07-12 00:00:00	2006-07-15 00:00:00	Shipper ZHISN	148.33	2490.5	0.0595
88	Customer SRQVM	10256	2006-07-15 00:00:00	2006-07-17 00:00:00	Shipper ETYNR	13.97	517.8	0.0269
35	Customer UMTLM	10257	2006-07-16 00:00:00	2006-07-22 00:00:00	Shipper ZHISN	81.91	1119.9	0.0731
20	Customer THHDP	10258	2006-07-17 00:00:00	2006-07-23 00:00:00	Shipper GVSUA	140.51	2018.6	0.0696
13	Customer VMLOG	10259	2006-07-18 00:00:00	2006-07-25 00:00:00	Shipper ZHISN	3.25	100.8	0.0322
56	Customer QNIVZ	10260	2006-07-19 00:00:00	2006-07-29 00:00:00	Shipper GVSUA	55.09	1746.2	0.0315
61	Customer WULWD	10261	2006-07-19 00:00:00	2006-07-30 00:00:00	Shipper ETYNR	3.05	448	0.0068
65	Customer NYUHS	10262	2006-07-22 00:00:00	2006-07-25 00:00:00	Shipper ZHISN	48.29	624.8	0.0772
20	Customer THHDP	10263	2006-07-23 00:00:00	2006-07-31 00:00:00	Shipper ZHISN	146.06	2464.8	0.0592
24	Customer CYZTN	10264	2006-07-24 00:00:00	2006-08-23 00:00:00	Shipper ZHISN	3.67	724.5	0.005
7	Customer QXVLA	10265	2006-07-25 00:00:00	2006-08-12 00:00:00	Shipper GVSUA	55.28	1176	0.047
87	Customer ZHYOS	10266	2006-07-26 00:00:00	2006-07-31 00:00:00	Shipper ZHISN	25.73	364.8	0.0705
25	Customer AZJED	10267	2006-07-29 00:00:00	2006-08-06 00:00:00	Shipper GVSUA	208.58	4031	0.0517
